albumlink,Genre1,Genre2,Genre3
/album/15386/7-Angels-7-Plagues-Jhazmynes-Lullaby/,Metalcore,Hardcore,NA
/album/54/A-Perfect-Circle-Thirteenth-Step/,Alternative Rock,Progressive Metal,Metal
/album/9354/Accept-Balls-to-the-Wall/,Heavy Metal,Metal,Hard Rock
/album/60148/Accept-Blood-of-the-Nations/,Heavy Metal,Metal,Hard Rock
/album/9355/Accept-Metal-Heart/,Heavy Metal,Metal,Hard Rock
/album/9358/Accept-Restless-and-Wild/,Heavy Metal,Metal,Hard Rock
/album/16909/Acid-Bath-Paegan-Terrorism-Tactics/,Sludge Metal,Stoner Rock,Doom Metal
/album/8198/Acid-Bath-When-the-Kite-String-Pops/,Sludge Metal,Stoner Rock,Doom Metal
/album/40598/Adramelech-Psychostasia/,Death Metal,NA,NA
/album/10905/Agalloch-Ashes-Against-the-Grain/,Black Metal,Folk,Post Metal
/album/3728/Agalloch-Pale-Folklore/,Black Metal,Folk,Post Metal
/album/1268/Agalloch-The-Mantle/,Black Metal,Folk,Post Metal
/album/3858/Akercocke-Words-That-Go-Unspoken.../,Death Metal,Black Metal,Progressive Metal
/album/47138/Alcest-%C3%89cailles-de-Lune/,Shoegaze,Black Metal,Post Rock
/album/226644/Alcest-Kodama/,Shoegaze,Black Metal,Post Rock
/album/99/Alice-in-Chains-Dirt/,Grunge,Alternative Rock,Metal
/album/87/Alice-in-Chains-Jar-of-Flies/,Grunge,Alternative Rock,Metal
/album/2122/Alice-in-Chains-MTV-Unplugged/,Grunge,Alternative Rock,Metal
/album/126239/Altar-of-Plagues-Teethed-Glory-and-Injury/,Black Metal,Post Metal,Post Rock
/album/114286/Amenra-Mass-V/,Post Metal,Sludge Metal,Post Rock
/album/66567/Amia-Venera-Landscape-The-Long-Procession/,Post Hardcore,Post Metal,Progressive Metal
/album/11877/Amon-Amarth-With-Oden-on-Our-Side/,Melodic Death Metal,Death Metal,NA
/album/2863/Amorphis-Tales-From-the-Thousand-Lakes/,Melodic Death Metal,Progressive Metal,Doom Metal
/album/19583/Anacrusis-Manic-Impressions/,Thrash Metal,Progressive Metal,NA
/album/19584/Anacrusis-Screams-and-Whispers/,Thrash Metal,Progressive Metal,NA
/album/10858/Anata-The-Conductors-Departure/,Death Metal,NA,NA
/album/12297/Anathema-Alternative-4/,Progressive Rock,Alternative Rock,Doom Metal
/album/8560/Anathema-Judgement/,Progressive Rock,Alternative Rock,Doom Metal
/album/51127/Anathema-Were-Here-Because-Were-Here/,Progressive Rock,Alternative Rock,Doom Metal
/album/9752/Angra-Temple-of-Shadows/,Power Metal,Progressive Metal,NA
/album/37265/Animals-As-Leaders-Animals-as-Leaders/,Progressive Metal,Jazz Fusion,Math Rock
/album/154388/Animals-As-Leaders-The-Joy-of-Motion/,Progressive Metal,Jazz Fusion,Math Rock
/album/1803/Annihilator-Alice-in-Hell/,Thrash Metal,Heavy Metal,Progressive Metal
/album/7802/Annihilator-Never-Neverland/,Thrash Metal,Heavy Metal,Progressive Metal
/album/2588/Anthrax-Among-the-Living/,Thrash Metal,Hard Rock,NA
/album/617/Anthrax-Spreading-the-Disease/,Thrash Metal,Hard Rock,NA
/album/428/Arcturus-The-Sham-Mirrors/,Progressive Metal,Black Metal,Experimental
/album/10196/Artillery-By-Inheritance/,Thrash Metal,NA,NA
/album/42921/Aspid-Extravasation/,Thrash Metal,Progressive Metal,NA
/album/1193/At-the-Gates-Slaughter-of-the-Soul/,Melodic Death Metal,Death Metal,NA
/album/2437/Atheist-Piece-of-Time/,Death Metal,Progressive Metal,Jazz Fusion
/album/2445/Atheist-Unquestionable-Presence/,Death Metal,Progressive Metal,Jazz Fusion
/album/14059/Autopsy-Mental-Funeral/,Death Metal,Doom Metal,NA
/album/3139/Autopsy-Severed-Survival/,Death Metal,Doom Metal,NA
/album/20838/Ayreon-Into-the-Electric-Castle/,Progressive Metal,Progressive Rock,NA
/album/4998/Ayreon-The-Human-Equation/,Progressive Metal,Progressive Rock,NA
/album/1579/Bathory-Blood-Fire-Death/,Black Metal,Folk,Thrash Metal
/album/9288/Bathory-Hammerheart/,Black Metal,Folk,Thrash Metal
/album/9286/Bathory-Under-the-Sign-of-the-Black-Mark/,Black Metal,Folk,Thrash Metal
/album/16062/Battle-Of-Mice-A-Day-Of-Nights/,Post Metal,Sludge Metal,Metal
/album/209589/Batushka-Litourgiya/,Black Metal,Doom Metal,Post Metal
/album/37865/Belakor-Stones-Reach/,Melodic Death Metal,Progressive Metal,Death Metal
/album/218327/Belakor-Vessels/,Melodic Death Metal,Progressive Metal,Death Metal
/album/3424/Between-the-Buried-and-Me-Alaska/,Progressive Metal,Metalcore,Death Metal
/album/20647/Between-the-Buried-and-Me-Colors/,Progressive Metal,Metalcore,Death Metal
/album/31709/Between-the-Buried-and-Me-Colors_Live/,Progressive Metal,Metalcore,Death Metal
/album/2034/Black-Flag-Damaged/,Hardcore,Punk,Sludge Metal
/album/3761/Black-Flag-My-War/,Hardcore,Punk,Sludge Metal
/album/25723/Black-Flag-Nervous-Breakdown/,Hardcore,Punk,Sludge Metal
/album/5439/Black-Flag-The-First-Four-Years/,Hardcore,Punk,Sludge Metal
/album/915/Black-Sabbath-Black-Sabbath/,Doom Metal,Heavy Metal,Metal
/album/2359/Black-Sabbath-Heaven-and-Hell/,Doom Metal,Heavy Metal,Metal
/album/620/Black-Sabbath-Master-of-Reality/,Doom Metal,Heavy Metal,Metal
/album/67/Black-Sabbath-Paranoid/,Doom Metal,Heavy Metal,Metal
/album/1866/Black-Sabbath-Sabbath-Bloody-Sabbath/,Doom Metal,Heavy Metal,Metal
/album/2461/Black-Sabbath-Sabotage/,Doom Metal,Heavy Metal,Metal
/album/1249/Black-Sabbath-Vol.-4/,Doom Metal,Heavy Metal,Metal
/album/2677/Black-Sabbath-We-Sold-Our-Soul-For-Rock-N-Roll/,Doom Metal,Heavy Metal,Metal
/album/4016/Blind-Guardian-A-Night-at-the-Opera/,Power Metal,Progressive Metal,Thrash Metal
/album/4130/Blind-Guardian-Imaginations-from-the-Other-Side/,Power Metal,Progressive Metal,Thrash Metal
/album/712/Blind-Guardian-Nightfall-in-Middle-Earth/,Power Metal,Progressive Metal,Thrash Metal
/album/2864/Blind-Guardian-Somewhere-Far-Beyond/,Power Metal,Progressive Metal,Thrash Metal
/album/66650/Blindead-Affliction-XXIX-II-MCMXCVI/,Post Metal,Progressive Rock,Metal
/album/6177/Blue-Oyster-Cult-Fire-of-Unknown-Origin/,Hard Rock,Heavy Metal,Psychedelic
/album/16505/Blue-Oyster-Cult-Secret-Treaties/,Hard Rock,Heavy Metal,Psychedelic
/album/173048/Blut-Aus-Nord-Memoria-Vetusta-II---Dialogue-With-The-Stars/,Black Metal,Industrial,Experimental
/album/13325/Blut-Aus-Nord-The-Work-Which-Transforms-God/,Black Metal,Industrial,Experimental
/album/20335/Bolt-Thrower-The-IVth-Crusade/,Death Metal,Doom Metal,NA
/album/11862/Bolt-Thrower-Those-Once-Loyal/,Death Metal,Doom Metal,NA
/album/5568/Boris-Akuma-no-Uta/,Drone,Doom Metal,Experimental
/album/5488/Boris-Boris-At-Last--Feedbacker-/,Drone,Doom Metal,Experimental
/album/5200/Boris-Flood/,Drone,Doom Metal,Experimental
/album/5567/Boris-Pink/,Drone,Doom Metal,Experimental
/album/3016/Botch-An-Anthology-of-Dead-Ends/,Metalcore,Hardcore,NA
/album/3651/Botch-We-Are-the-Romans/,Metalcore,Hardcore,NA
/album/10626/Bruce-Dickinson-Accident-of-Birth/,Heavy Metal,Metal,Hard Rock
/album/3214/Bruce-Dickinson-The-Chemical-Wedding/,Heavy Metal,Metal,Hard Rock
/album/19418/Brutal-Truth-Extreme-Conditions-Demand-Extreme-Responses/,Grind,Death Metal,NA
/album/5909/Buckethead-Colma/,Experimental,Metal,Funk
/album/13359/Buckethead-Electric-Tears/,Experimental,Metal,Funk
/album/5059/Buckethead-Population-Override/,Experimental,Metal,Funk
/album/29116/Burst-Lazarus-Bird/,Progressive Metal,Metalcore,Post Metal
/album/6982/Burst-Origo/,Progressive Metal,Metalcore,Post Metal
/album/5032/Burzum-Det-som-engang-var/,Black Metal,Ambient,NA
/album/9976/Burzum-Filosofem/,Black Metal,Ambient,NA
/album/956/Burzum-Hvis-lyset-tar-oss/,Black Metal,Ambient,NA
/album/122147/Caladan-Brood-Echoes-Of-Battle/,Black Metal,Folk,NA
/album/3582/Candlemass-Epicus-Doomicus-Metallicus/,Doom Metal,Heavy Metal,NA
/album/11852/Candlemass-Nightfall/,Doom Metal,Heavy Metal,NA
/album/1273/Carcass-Heartwork/,Melodic Death Metal,Grind,Death Metal
/album/1215/Carcass-Necroticism-Descanting-the-Insalubrious/,Melodic Death Metal,Grind,Death Metal
/album/17091/Cave-In-Jupiter/,Progressive Rock,Metalcore,Alternative Rock
/album/2903/Celtic-Frost-Morbid-Tales/,Thrash Metal,Black Metal,Doom Metal
/album/2904/Celtic-Frost-To-Mega-Therion/,Thrash Metal,Black Metal,Doom Metal
/album/159/Children-of-Bodom-Follow-the-Reaper/,Melodic Death Metal,Power Metal,Thrash Metal
/album/995/Children-of-Bodom-Hatebreeder/,Melodic Death Metal,Power Metal,Thrash Metal
/album/1810/Children-of-Bodom-Tokyo-Warhearts/,Melodic Death Metal,Power Metal,Thrash Metal
/album/61882/Cloudkicker-Beacons/,Progressive Metal,Post Rock,Progressive Rock
/album/25566/Coalesce-012-Revolution-in-Just-Listening/,Hardcore,Metalcore,NA
/album/31751/Coldworld-Melancholie/,Black Metal,Ambient,Post Rock
/album/109358/Converge-All-We-Love-We-Leave-Behind/,Metalcore,Hardcore,Punk
/album/41150/Converge-Axe-to-Fall/,Metalcore,Hardcore,Punk
/album/1518/Converge-Jane-Doe/,Metalcore,Hardcore,Punk
/album/930/Converge-You-Fail-Me/,Metalcore,Hardcore,Punk
/album/83168/Corelia-Nostalgia/,Progressive Metal,Metalcore,NA
/album/10177/Coroner-Mental-Vortex/,Thrash Metal,Progressive Metal,NA
/album/10859/Coroner-No-More-Color/,Thrash Metal,Progressive Metal,NA
/album/15329/Coroner-Punishment-for-Decadence/,Thrash Metal,Progressive Metal,NA
/album/7757/Corrosion-of-Conformity-Deliverance/,Stoner Rock,Sludge Metal,Thrash Metal
/album/764/Cradle-of-Filth-Dusk-and-Her-Embrace/,Black Metal,Gothic,Metal
/album/4210/Cradle-of-Filth-Vempire-or-Dark-Fairytales-in-Phallustei/,Black Metal,Gothic,Metal
/album/902/Cryptopsy-Blasphemy-Made-Flesh/,Death Metal,Grind,NA
/album/1482/Cryptopsy-None-So-Vile/,Death Metal,Grind,NA
/album/215230/Cult-of-Luna-and-Julie-Christmas-Mariner/,Post Metal,Sludge Metal,NA
/album/2419/Cult-of-Luna-Salvation/,Post Metal,Sludge Metal,NA
/album/10199/Cult-of-Luna-Somewhere-Along-the-Highway/,Post Metal,Sludge Metal,NA
/album/857/Cult-of-Luna-The-Beyond/,Post Metal,Sludge Metal,NA
/album/8553/Cursed-II/,Hardcore,Sludge Metal,NA
/album/626/Cynic-Focus/,Progressive Metal,Death Metal,Jazz Fusion
/album/30761/Cynic-Traced-in-Air/,Progressive Metal,Death Metal,Jazz Fusion
/album/6451/Cypress-Hill-Black-Sunday/,Hip-Hop,Nu-metal,NA
/album/6148/Cypress-Hill-Cypress-Hill/,Hip-Hop,Nu-metal,NA
/album/15630/Dan-Swano-Moontower/,Melodic Death Metal,Progressive Metal,Death Metal
/album/5518/Danzig-Danzig-II-Lucifuge/,Doom Metal,Gothic,Metal
/album/5519/Danzig-Danzig-III-How-The-Gods-Kill/,Doom Metal,Gothic,Metal
/album/415/Dark-Angel-Darkness-Descends/,Thrash Metal,NA,NA
/album/11521/Dark-Tranquillity-Character/,Melodic Death Metal,Progressive Metal,NA
/album/13173/Dark-Tranquillity-Damage-Done/,Melodic Death Metal,Progressive Metal,NA
/album/16748/Dark-Tranquillity-Fiction/,Melodic Death Metal,Progressive Metal,NA
/album/31123/Dark-Tranquillity-The-Gallery/,Melodic Death Metal,Progressive Metal,NA
/album/28325/Darkspace-Dark-Space-III/,Black Metal,Ambient,NA
/album/288/Darkthrone-A-Blaze-in-the-Northern-Sky/,Black Metal,Heavy Metal,Punk
/album/700/Darkthrone-Transilvanian-Hunger/,Black Metal,Heavy Metal,Punk
/album/2136/Darkthrone-Under-a-Funeral-Moon/,Black Metal,Heavy Metal,Punk
/album/29693/Dead-Congregation-Graves-of-the-Archangels/,Death Metal,Doom Metal,NA
/album/6545/Death-Angel-The-Ultra-Violence/,Thrash Metal,Metal,NA
/album/4259/Death-Human/,Death Metal,Progressive Metal,Thrash Metal
/album/4257/Death-Individual-Thought-Patterns/,Death Metal,Progressive Metal,Thrash Metal
/album/2857/Death-Leprosy/,Death Metal,Progressive Metal,Thrash Metal
/album/4258/Death-Symbolic/,Death Metal,Progressive Metal,Thrash Metal
/album/2285/Death-The-Sound-of-Perseverance/,Death Metal,Progressive Metal,Thrash Metal
/album/19955/Deathspell-Omega-Fas---Ite-Maledicti-In-Ignem-Aeternum/,Black Metal,Experimental,Progressive Metal
/album/17443/Deathspell-Omega-Kenose/,Black Metal,Experimental,Progressive Metal
/album/64552/Deathspell-Omega-Paracletus/,Black Metal,Experimental,Progressive Metal
/album/17447/Deathspell-Omega-Si-Monvmentvm-Reqvires-Circvmspice/,Black Metal,Experimental,Progressive Metal
/album/5474/Decapitated-Winds-of-Creation/,Death Metal,NA,NA
/album/334/Deftones-Around-the-Fur/,Metal,Nu-metal,Alternative Rock
/album/50952/Deftones-Diamond-Eyes/,Metal,Nu-metal,Alternative Rock
/album/113111/Deftones-Koi-No-Yokan/,Metal,Nu-metal,Alternative Rock
/album/63/Deftones-White-Pony/,Metal,Nu-metal,Alternative Rock
/album/11009/Deicide-Deicide/,Death Metal,NA,NA
/album/8181/Demigod-Slumber-of-Sullen-Eyes/,Death Metal,Doom Metal,NA
/album/1066/Demilich-Nespithe/,Death Metal,Experimental,NA
/album/14233/Demolition-Hammer-Epidemic-of-Violence/,Thrash Metal,Death Metal,NA
/album/40263/Demolition-Hammer-Tortured-Existence/,Thrash Metal,Death Metal,NA
/album/15324/Destruction-Infernal-Overkill/,Thrash Metal,Death Metal,Black Metal
/album/10192/Destruction-Release-from-Agony/,Thrash Metal,Death Metal,Black Metal
/album/5063/Devin-Townsend-Ocean-Machine-Biomech/,Progressive Rock,Progressive Metal,Ambient
/album/41301/Devin-Townsend-Project-Addicted/,Progressive Metal,Progressive Rock,New Age
/album/627/Devin-Townsend-Terria/,Progressive Rock,Progressive Metal,Ambient
/album/99912/Diablo-Swing-Orchestra-Pandoras-Pinata/,Metal,Jazz,Progressive Metal
/album/8401/Diamond-Head-Lightning-to-the-Nations/,Heavy Metal,Metal,Hard Rock
/album/3492/Dio-Holy-Diver/,Heavy Metal,Metal,Power Metal
/album/7879/Dio-The-Last-in-Line/,Heavy Metal,Metal,Power Metal
/album/172770/Dir-En-Grey-Arche/,Progressive Metal,Metal,Death Metal
/album/79064/Dir-En-Grey-Dum-Spiro-Spero/,Progressive Metal,Metal,Death Metal
/album/32610/Dir-En-Grey-Uroboros/,Progressive Metal,Metal,Death Metal
/album/19761/diSEMBOWELMENT--Transcendence-into-the-Peripheral/,Doom Metal,Death Metal,NA
/album/16873/Disillusion-Back-to-Times-of-Splendor/,Progressive Metal,Melodic Death Metal,Metal
/album/1917/Dismember-Like-an-Ever-Flowing-Stream/,Death Metal,Melodic Death Metal,NA
/album/1575/Dissection-Storm-of-the-Lights-Bane/,Black Metal,Melodic Death Metal,Death Metal
/album/1586/Dissection-The-Somberlain/,Black Metal,Melodic Death Metal,Death Metal
/album/9170/Down-NOLA/,Sludge Metal,Stoner Rock,Metal
/album/51904/Dragged-Into-Sunlight-Hatred-For-Mankind/,Death Metal,Black Metal,Doom Metal
/album/1500/Dream-Theater-Awake/,Progressive Metal,Progressive Rock,NA
/album/76/Dream-Theater-Images-and-Words/,Progressive Metal,Progressive Rock,NA
/album/998/Dream-Theater-Live-at-Budokan/,Progressive Metal,Progressive Rock,NA
/album/143290/Dream-Theater-Live-Scenes-From-New-York/,Progressive Metal,Progressive Rock,NA
/album/344/Dream-Theater-Metropolis-Pt.-2-Scenes-from-a-Memory/,Progressive Metal,Progressive Rock,NA
/album/11283/Dream-Theater-Score/,Progressive Metal,Progressive Rock,NA
/album/160/Dream-Theater-Six-Degrees-of-Inner-Turbulence/,Progressive Metal,Progressive Rock,NA
/album/16792/Drudkh-Autumn-Aurora/,Black Metal,Folk,Ambient
/album/14365/Drudkh-Blood-In-Our-Wells/,Black Metal,Folk,Ambient
/album/12091/Earth-Earth-2/,Drone,Post Rock,Doom Metal
