album,total_m,m_comments,m_ratio,total_comments,m_per_comment,m_per_comment_l95,m_per_l95_rank,Primary Genre
Annihilator-Alice-in-Hell,32,28,1.1428571428571428,248,0.12903225806451613,0.09674717609005631,1,Thrash Metal
Adramelech-Psychostasia,59,42,1.4047619047619047,520,0.11346153846153846,0.0919302720438458,2,Death Metal
Accept-Restless-and-Wild,10,9,1.1111111111111112,64,0.15625,0.09154239151929561,3,Heavy Metal
Overkill-Ironbound,13,7,1.8571428571428572,95,0.1368421052631579,0.08575625387696606,4,Thrash Metal
Immortal-At-the-Heart-of-Winter,35,31,1.1290322580645162,321,0.10903426791277258,0.0826080777388434,5,Black Metal
Exodus-Fabulous-Disaster,36,36,1,389,0.09254498714652956,0.07023607565933099,6,Thrash Metal
Meshuggah-Nothing-Re-release,33,33,1,353,0.09348441926345609,0.07003974303557914,7,Progressive Metal
Meshuggah-Destroy-Erase-Improve,49,30,1.6333333333333333,559,0.08765652951699464,0.06929538789157731,8,Progressive Metal
Gorguts-From-Wisdom-to-Hate,56,48,1.1666666666666667,655,0.08549618320610687,0.06865215075698644,9,Death Metal
Demolition-Hammer-Epidemic-of-Violence,71,55,1.290909090909091,893,0.07950727883538634,0.06545446146843219,10,Thrash Metal
Morbid-Angel-Altars-of-Madness,222,158,1.4050632911392404,3076,0.07217165149544863,0.0647412119304254,11,Death Metal
Sepultura-Beneath-the-Remains,43,34,1.2647058823529411,520,0.08269230769230769,0.06424633438634485,12,Thrash Metal
Rotting-Christ-Theogonia,12,12,1,114,0.10526315789473684,0.06394922102758,13,Black Metal
Bathory-Under-the-Sign-of-the-Black-Mark,54,38,1.4210526315789473,699,0.07725321888412018,0.06171396508355989,14,Black Metal
Sodom-Agent-Orange,44,35,1.2571428571428571,564,0.07801418439716312,0.06075962453890782,15,Thrash Metal
Celtic-Frost-To-Mega-Therion,30,24,1.25,365,0.0821917808219178,0.06054958568310717,16,Thrash Metal
Demolition-Hammer-Tortured-Existence,20,18,1.1111111111111112,231,0.08658008658008658,0.05924019465337925,17,Thrash Metal
Kalmah-Swamplord,10,10,1,99,0.10101010101010101,0.05801530945409938,18,Melodic Death Metal
Iron-Maiden-Live-After-Death,24,23,1.0434782608695652,303,0.07920792079207921,0.05609268657779071,19,Heavy Metal
Destruction-Infernal-Overkill,15,11,1.3636363636363635,174,0.08620689655172414,0.055255389268476285,20,Thrash Metal
Bathory-Blood-Fire-Death,43,40,1.075,606,0.07095709570957096,0.05504484253298732,21,Black Metal
Incantation-Onward-to-Golgotha,85,60,1.4166666666666667,1306,0.06508422664624809,0.05444630111365439,22,Death Metal
Aspid-Extravasation,101,65,1.5538461538461539,1578,0.06400506970849176,0.054359356098688735,23,Thrash Metal
Triptykon-Eparistera-Daimones,10,10,1,106,0.09433962264150944,0.05405171395776836,24,Doom Metal
Kreator-Extreme-Aggression,23,22,1.0454545454545454,303,0.07590759075907591,0.05329153900704214,25,Thrash Metal
Autopsy-Mental-Funeral,66,49,1.346938775510204,1052,0.06273764258555133,0.051173317070307034,26,Death Metal
Mercyful-Fate-Dont-Break-the-Oath,33,27,1.2222222222222223,486,0.06790123456790123,0.05067547868175119,27,Heavy Metal
Gorguts-The-Erosion-of-Sanity,67,43,1.558139534883721,1083,0.061865189289012,0.05053740741752771,28,Death Metal
Diamond-Head-Lightning-to-the-Nations,48,45,1.0666666666666667,755,0.06357615894039735,0.04998340126463854,29,Heavy Metal
Atheist-Piece-of-Time,28,21,1.3333333333333333,412,0.06796116504854369,0.04937600348947189,30,Death Metal
Death-Individual-Thought-Patterns,151,110,1.3727272727272728,2715,0.05561694290976059,0.048670696371387094,31,Death Metal
Entombed-Left-Hand-Path,49,41,1.1951219512195121,799,0.06132665832290363,0.04832683835037764,32,Death Metal
Terrorizer-World-Downfall,7,7,1,73,0.0958904109589041,0.048241726065836564,33,Grind
Celtic-Frost-Morbid-Tales,24,23,1.0434782608695652,360,0.06666666666666667,0.04710205373538033,34,Thrash Metal
Candlemass-Nightfall,18,18,1,257,0.07003891050583658,0.04667943567383817,35,Doom Metal
Immolation-Dawn-of-Possession,33,29,1.1379310344827587,533,0.06191369606003752,0.04616514511678091,36,Death Metal
Death-Symbolic,206,166,1.2409638554216869,4038,0.05101535413571075,0.04551476884261518,37,Death Metal
Riverside-Second-Life-Syndrome,8,6,1.3333333333333333,93,0.08602150537634409,0.04542000647068184,38,Progressive Rock
Coroner-Mental-Vortex,72,64,1.125,1305,0.05517241379310345,0.045376423149188994,39,Thrash Metal
Metal-Church-Metal-Church,18,18,1,267,0.06741573033707865,0.0449045294956697,40,Thrash Metal
Darkthrone-A-Blaze-in-the-Northern-Sky,77,64,1.203125,1426,0.05399719495091164,0.044703170364528436,41,Black Metal
Gorguts-Colored-Sands,162,124,1.3064516129032258,3199,0.05064082525789309,0.0445113321938362,42,Death Metal
Immolation-Here-in-After,44,37,1.1891891891891893,776,0.05670103092783505,0.044040147435036106,43,Death Metal
Overkill-Horrorscope,9,8,1.125,115,0.0782608695652174,0.043003341126630935,44,Thrash Metal
King-Diamond-Abigail,22,21,1.0476190476190477,356,0.06179775280898876,0.042893738568723465,45,Heavy Metal
Slayer-Reign-in-Blood,86,62,1.3870967741935485,1680,0.05119047619047619,0.04281663723887503,46,Thrash Metal
Anthrax-Spreading-the-Disease,16,16,1,245,0.0653061224489796,0.04230126903817122,47,Thrash Metal
Coroner-Punishment-for-Decadence,12,12,1,173,0.06936416184971098,0.04167061198694502,48,Thrash Metal
Edge-of-Sanity-Crimson,36,29,1.2413793103448276,655,0.0549618320610687,0.04148791598057511,49,Melodic Death Metal
Dark-Angel-Darkness-Descends,26,25,1.04,449,0.05790645879732739,0.04145487628236283,50,Thrash Metal
Pestilence-Consuming-Impulse,82,63,1.3015873015873016,1657,0.049487024743512374,0.04120135920797251,51,Death Metal
Fear-Factory-Demanufacture,20,13,1.5384615384615385,332,0.060240963855421686,0.040991753870978656,52,Industrial
Skid-Row-Slave-to-the-Grind,9,9,1,121,0.0743801652892562,0.040805271389069225,53,Heavy Metal
Insomnium-Above-the-Weeping-World,23,18,1.2777777777777777,395,0.05822784810126582,0.040742251625711705,54,Melodic Death Metal
Annihilator-Never-Neverland,16,16,1,257,0.0622568093385214,0.040295721316922085,55,Thrash Metal
Possessed-Seven-Churches,34,34,1,632,0.05379746835443038,0.04025112029042835,56,Death Metal
Cryptopsy-None-So-Vile,152,123,1.2357723577235773,3319,0.04579692678517626,0.040069047127917125,57,Death Metal
Dissection-Storm-of-the-Lights-Bane,37,34,1.088235294117647,701,0.052781740370898715,0.039992124737657155,58,Black Metal
Testament-The-Legacy,14,13,1.0769230769230769,221,0.06334841628959276,0.03965038015623105,59,Thrash Metal
Immolation-Close-to-a-World-Below,143,118,1.2118644067796611,3144,0.045483460559796435,0.03962540613424049,60,Death Metal
Pantera-Cowboys-from-Hell,22,21,1.0476190476190477,386,0.05699481865284974,0.039522862237844666,61,Metal
Morbid-Angel-Covenant,42,34,1.2352941176470589,830,0.05060240963855422,0.039026273232315306,62,Death Metal
Exhorder-Slaughter-in-the-Vatican,22,21,1.0476190476190477,392,0.05612244897959184,0.0389112781494283,63,Thrash Metal
Carcass-Necroticism-Descanting-the-Insalubrious,24,20,1.2,435,0.05517241379310345,0.03889841842982195,64,Melodic Death Metal
Orphaned-Land-Mabool-The-Story-of-the-Three-Sons...,7,7,1,90,0.07777777777777778,0.038746283334643146,65,Folk
Paradise-Lost-Icon,9,9,1,128,0.0703125,0.038508543109056534,66,Doom Metal
Testament-The-Gathering,7,7,1,91,0.07692307692307693,0.038302484367788076,67,Thrash Metal
Sepultura-Chaos-A.D.,6,5,1.2,75,0.08,0.03720047535613345,68,Thrash Metal
Down-NOLA,79,69,1.144927536231884,1763,0.04480998298355077,0.037158284907768166,69,Sludge Metal
Morbid-Saint-Spectrum-of-Death,23,23,1,436,0.052752293577981654,0.036872648804393934,70,Thrash Metal
Heathen-Victims-of-Deception,50,46,1.0869565217391304,1086,0.04604051565377532,0.036306445891821346,71,Thrash Metal
Morbid-Angel-Blessed-Are-the-Sick,38,35,1.0857142857142856,799,0.04755944931163955,0.03614981720319715,72,Death Metal
Candlemass-Epicus-Doomicus-Metallicus,34,31,1.096774193548387,711,0.04781997187060478,0.03574718107844061,73,Doom Metal
