album,total_m,m_comments,m_ratio,total_comments,m_per_comment,m_per_comment_l95,m_per_comment_user,avg_date,m_over_xM,m_over_xM_rank,Primary Genre
Morbid-Angel-Altars-of-Madness,222,158,1.4050632911392404,3076,0.07217165149544863,0.0647412119304254,0.03150768843236706,2014-04-16,125.08235038203891,1,Death Metal
Cryptopsy-None-So-Vile,152,123,1.2357723577235773,3319,0.04579692678517626,0.040069047127917125,0.02592741496637135,2012-11-19,65.9469097266135,2,Death Metal
Death-Symbolic,206,166,1.2409638554216869,4038,0.05101535413571075,0.04551476884261518,0.03481898597362059,2015-10-15,65.40093463852006,3,Death Metal
Death-Individual-Thought-Patterns,151,110,1.3727272727272728,2715,0.05561694290976059,0.048670696371387094,0.03247907419964189,2014-06-29,62.819313547972264,4,Death Metal
Gorguts-Colored-Sands,162,124,1.3064516129032258,3199,0.05064082525789309,0.0445113321938362,0.03130012188471392,2014-10-07,61.87091009080016,5,Death Metal
Aspid-Extravasation,101,65,1.5538461538461539,1578,0.06400506970849176,0.054359356098688735,0.02905865381040198,2014-06-18,55.14544428718568,6,Thrash Metal
Incantation-Onward-to-Golgotha,85,60,1.4166666666666667,1306,0.06508422664624809,0.05444630111365439,0.03125198812401843,2015-06-02,44.18490351003194,7,Death Metal
Immolation-Close-to-a-World-Below,143,118,1.2118644067796611,3144,0.045483460559796435,0.03962540613424049,0.031497007794719194,2014-04-19,43.973407493402846,8,Death Metal
Pestilence-Consuming-Impulse,82,63,1.3015873015873016,1657,0.049487024743512374,0.04120135920797251,0.024656367790053854,2015-04-29,41.14439857188077,9,Death Metal
Demolition-Hammer-Epidemic-of-Violence,71,55,1.290909090909091,893,0.07950727883538634,0.06545446146843219,0.035860049659699834,2015-02-28,38.976975653888054,10,Thrash Metal
Autopsy-Mental-Funeral,66,49,1.346938775510204,1052,0.06273764258555133,0.051173317070307034,0.026638201885943215,2013-07-18,37.976611615987736,11,Death Metal
