team,regex
France,france|french
Spain,spain|spainish|la furia|espa(n|ñ)a
Brazil,brazil|brasil
Germany,german|deutsch
England,england|english|three lions
Belgium,belgium|belgian
Argentina,argentin(ia|a|e)
Portugal,portugal|portugu
Uruguay,uruguay
Croatia,croat
Senegal,senegal
Serbia,serb
Poland,poland|poles|polak
Denmark,denmark|dane
Colombia,colombia|columbia
Switzerland,switzerland|swiss
Egypt,egypt
Russia,russia|soviet
Mexico,mexico|el tri|mexica
Nigeria,nigeria
Morocco,morocco
Sweden,swede
South Korea,korea
Iceland,iceland
Japan,japan
Tunisia,tunisia
Australia,australia|socceroo
Iran,iran
Costa Rica,costa rica
Peru,peru
Saudi Arabia,saudi|arabia
Panama,panam
